hatKennzeichnung,gehoertZuTatbestandBE
'3','103674','2002-01-01-00.00.00.0000'
'3','103673','2002-01-01-00.00.00.0000'
'3','103672','2002-01-01-00.00.00.0000'
'3','103667','2002-01-01-00.00.00.0000'
'3','103666','2002-01-01-00.00.00.0000'
'3','103665','2002-01-01-00.00.00.0000'
'3','103684','2002-01-01-00.00.00.0000'
'3','103721','2002-01-01-00.00.00.0000'
'3','103652','2002-01-01-00.00.00.0000'
'3','103734','2002-01-01-00.00.00.0000'
'3','103733','2002-01-01-00.00.00.0000'
'3','103732','2002-01-01-00.00.00.0000'
'3','103731','2002-01-01-00.00.00.0000'
'3','103730','2002-01-01-00.00.00.0000'
'3','103729','2002-01-01-00.00.00.0000'
'3','103728','2002-01-01-00.00.00.0000'
'3','103727','2002-01-01-00.00.00.0000'
'3','103698','2002-01-01-00.00.00.0000'
'3','103722','2002-01-01-00.00.00.0000'
'3','103699','2002-01-01-00.00.00.0000'
'3','103720','2002-01-01-00.00.00.0000'
'3','103719','2002-01-01-00.00.00.0000'
'3','103718','2002-01-01-00.00.00.0000'
'3','103717','2002-01-01-00.00.00.0000'
'3','103716','2002-01-01-00.00.00.0000'
'3','103715','2002-01-01-00.00.00.0000'
'3','103714','2002-01-01-00.00.00.0000'
'3','103701','2002-01-01-00.00.00.0000'
'3','103662','2002-01-01-00.00.00.0000'
'3','103726','2002-01-01-00.00.00.0000'
'3','103203','2002-01-01-00.00.00.0000'
'3','103664','2002-01-01-00.00.00.0000'
'3','103227','2002-01-01-00.00.00.0000'
'3','103226','2002-01-01-00.00.00.0000'
'3','103221','2002-01-01-00.00.00.0000'
'3','103220','2002-01-01-00.00.00.0000'
'3','103215','2002-01-01-00.00.00.0000'
'3','103214','2002-01-01-00.00.00.0000'
'3','103210','2002-01-01-00.00.00.0000'
'3','103209','2002-01-01-00.00.00.0000'
'3','103233','2002-01-01-00.00.00.0000'
'3','103204','2002-01-01-00.00.00.0000'
'3','103238','2002-01-01-00.00.00.0000'
'3','103202','2002-01-01-00.00.00.0000'
'3','103197','2002-01-01-00.00.00.0000'
'3','103196','2002-01-01-00.00.00.0000'
'3','103191','2002-01-01-00.00.00.0000'
'3','103190','2002-01-01-00.00.00.0000'
'3','103185','2002-01-01-00.00.00.0000'
'3','103184','2002-01-01-00.00.00.0000'
'3','103179','2002-01-01-00.00.00.0000'
'3','103178','2002-01-01-00.00.00.0000'
'3','103208','2002-01-01-00.00.00.0000'
'3','103640','2002-01-01-00.00.00.0000'
'3','103740','2002-01-01-00.00.00.0000'
'3','103661','2002-01-01-00.00.00.0000'
'3','103660','2002-01-01-00.00.00.0000'
'3','103654','2002-01-01-00.00.00.0000'
'3','103653','2002-01-01-00.00.00.0000'
'3','103651','2002-01-01-00.00.00.0000'
'3','141681','2002-01-01-00.00.00.0000'
'3','103649','2002-01-01-00.00.00.0000'
'3','103648','2002-01-01-00.00.00.0000'
'3','103232','2002-01-01-00.00.00.0000'
'3','103641','2002-01-01-00.00.00.0000'
'3','103663','2002-01-01-00.00.00.0000'
'3','103639','2002-01-01-00.00.00.0000'
'3','103638','2002-01-01-00.00.00.0000'
'3','103637','2002-01-01-00.00.00.0000'
'3','103636','2002-01-01-00.00.00.0000'
'3','103246','2002-01-01-00.00.00.0000'
'3','103245','2002-01-01-00.00.00.0000'
'3','103244','2002-01-01-00.00.00.0000'
'3','103240','2002-01-01-00.00.00.0000'
'3','103239','2002-01-01-00.00.00.0000'
'3','103642','2002-01-01-00.00.00.0000'
'3','103827','2002-01-01-00.00.00.0000'
'3','103847','2002-01-01-00.00.00.0000'
'3','103846','2002-01-01-00.00.00.0000'
'3','103840','2002-01-01-00.00.00.0000'
'3','103839','2002-01-01-00.00.00.0000'
'3','103838','2002-01-01-00.00.00.0000'
'3','103837','2002-01-01-00.00.00.0000'
'3','103836','2002-01-01-00.00.00.0000'
'3','103835','2002-01-01-00.00.00.0000'
'3','103738','2002-01-01-00.00.00.0000'
'3','103828','2002-01-01-00.00.00.0000'
'3','103850','2002-01-01-00.00.00.0000'
'3','103826','2002-01-01-00.00.00.0000'
'3','103825','2002-01-01-00.00.00.0000'
'3','103824','2002-01-01-00.00.00.0000'
'3','103823','2002-01-01-00.00.00.0000'
'3','103822','2002-01-01-00.00.00.0000'
'3','103816','2002-01-01-00.00.00.0000'
'3','103815','2002-01-01-00.00.00.0000'
'3','103814','2002-01-01-00.00.00.0000'
'3','103813','2002-01-01-00.00.00.0000'
'3','103834','2002-01-01-00.00.00.0000'
'3','118174','2002-01-01-00.00.00.0000'
'3','118643','2002-01-01-00.00.00.0000'
'3','118642','2002-01-01-00.00.00.0000'
'3','118638','2002-01-01-00.00.00.0000'
'3','118637','2002-01-01-00.00.00.0000'
'3','118636','2002-01-01-00.00.00.0000'
'3','118635','2002-01-01-00.00.00.0000'
'3','118634','2002-01-01-00.00.00.0000'
'3','118633','2002-01-01-00.00.00.0000'
'3','118632','2002-01-01-00.00.00.0000'
'3','103848','2002-01-01-00.00.00.0000'
'3','118630','2002-01-01-00.00.00.0000'
'3','103849','2002-01-01-00.00.00.0000'
'3','118173','2002-01-01-00.00.00.0000'
'3','118172','2002-01-01-00.00.00.0000'
'3','118167','2002-01-01-00.00.00.0000'
'3','118166','2002-01-01-00.00.00.0000'
'3','118161','2002-01-01-00.00.00.0000'
'3','118160','2002-01-01-00.00.00.0000'
'3','103852','2002-01-01-00.00.00.0000'
'3','103851','2002-01-01-00.00.00.0000'
'3','103810','2002-01-01-00.00.00.0000'
'3','118631','2002-01-01-00.00.00.0000'
'3','103753','2002-01-01-00.00.00.0000'
